Name,Span,Innings,AverageDiff
B McMullen (SCOT),2022-2022,4,104.87
Sami Sohail (MWI),2019-2022,23,-
GT Main (SCOT),2015-2022,20,75.02
Aamer Yamin (PAK),2015-2018,6,62.25
Nouman Sarwar (QAT),2019-2019,14,42.50
Aamer Hanif (PAK),1993-1995,5,41.50
HE van der Dussen (SA),2018-2022,97,41.43
Mohammad Yousuf (Asia/PAK),1998-2010,381,37.41
D Heyliger (CAN),2019-2022,28,36.02
F Damiao Couana (MOZ),2019-2022,27,34.83
Yasir Mehmood (CYP),2021-2021,4,-
A Mansale (VAN),2019-2022,20,33.46
Babar Azam (PAK),2015-2022,236,30.27
RK Paudel (NEPAL),2018-2022,53,29.66
Ilyas Ataullah (TKY),2022-2022,4,-
T Filer (EST),2021-2021,5,27.75
Muhammad Tanveer (QAT),2019-2022,30,27.22
Ibrahim Zadran (AFG),2019-2022,28,27.00
RN ten Doeschate (NED),2006-2021,57,26.70
IR Bell (ENG),2004-2015,287,24.42
J Overton (ENG),2022-2022,1,24.00
AB de Villiers (Afr/SA),2004-2018,420,23.91
V Saini (ROM),2020-2022,23,23.44
MV Boucher (Afr/ICC/SA),1997-2012,467,23.20
SJ Modani (USA),2021-2022,25,23.00
Asrar Ahmed (GRC),2019-2021,7,22.50
KWR Fletcher (ENG),1981-1982,12,22.50
Abdul Wahid (Saudi),2019-2021,12,22.40
R Lamba (IND),1986-1989,36,21.66
L Siaka (PNG),2014-2022,88,20.91
T Mishra (KENYA),2006-2013,57,20.32
FA Cossa (MOZ),2019-2022,26,20.09
MJ Slater (AUS),1993-2001,116,20.00
Zaheer Abbas (PAK),1980-1985,89,18.78
Inzamam-ul-Haq (Asia/ICC/PAK),1991-2007,499,18.68
MG Erasmus (NAM),2019-2022,70,18.39
A Martel (GUE),2022-2022,2,-
Junaid Aziz (BHR),2020-2022,17,18.02
Sher Sahak (NOR),2021-2022,14,17.66
Haider Butt (BHR),2021-2022,25,16.60
Imran Khan (PAK),1980-1992,226,16.56
SF Dukanwala (UAE),1996-1996,5,16.50
S Kaveri (Mex),2019-2019,7,16.33
Qamar Mushtaque (NOR),2022-2022,5,-
DJ Mitchell (NZ),2019-2022,66,16.23
MJ Clarke (AUS),2003-2015,394,15.31
Ghulam Ahmadi (GER),2021-2022,27,15.14
K Nassoro (TAN),2021-2022,35,15.14
Anik Ahmed (ITA),2022-2022,4,15.00
Habib Khan (EST),2021-2022,12,14.38
Muhamad Syahadat (MAL),2019-2022,21,14.15
Ravinderpal Singh (CAN),2019-2022,29,14.10
Mohammad Amin (KUW),2019-2020,9,14.00
DDP D'Silva (UAE),2019-2020,16,13.83
Hafez Farooq (Peru),2019-2019,4,13.50
SL Campbell (WI),1994-2002,142,13.41
JE Root (ENG),2012-2022,316,13.32
Khalid Ahmadi (Belg),2020-2022,15,13.13
CG Williams (NAM),2019-2022,53,13.12
T Whiteman (LUX),2019-2021,14,13.00
SMH Kirmani (IND),1980-1986,95,12.86
Saber Zakhil (Belg),2019-2022,23,12.63
Tamoor Sajjad (QAT),2019-2020,16,12.43
V Balakrishnan (BOT),2019-2022,18,12.25
TN de Grooth (NED),2006-2013,48,12.25
BM Wheeler (NZ),2015-2018,12,12.10
Azhar Khan (PAK),1980-1980,1,12.00
S Ravikumar (CRC),2019-2019,3,12.00
Md Nurul Huda (Fin),2019-2019,5,11.88
Mohsin Hub (Peru),2019-2019,4,11.50
PN Kirsten (SA),1991-1994,52,11.33
DL Houghton (ZIM),1983-1997,85,11.00
MJ Guptill (NZ),2009-2022,367,10.70
JJ Huo (MOZ),2019-2022,26,10.60
WF Stelling (NED),2006-2007,15,10.22
AC Voges (AUS),2007-2016,58,10.22
Aayan Afzal Khan (UAE),2022-2022,8,10.10
DL Chahar (IND),2018-2022,37,10.08
